"titulo","resumo","link","palavras_chave"
"Como funciona o cadastro e elegibilidade","Funcionamento do cadastro e quem é elegível a Crédito Fácil ou Antecipação Salarial.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","como funciona o cadastro, elegibilidade, grupo a b c, quem pode contratar, elegível antecipação, elegível crédito fácil"
"Dificuldade para finalizar o cadastro","Erros na tela de cadastro (Belvo/Cumbuca) e como orientar o cliente a tentar novamente.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","erro no cadastro, tela de erro, belvo, cumbuca, não consigo me cadastrar, não redirecionou pro banco"
"Recebe salário em banco não atendido","O que informar quando o cliente recebe salário em um banco que a Facio não atende.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","banco não atendido, banco não aceito, meu banco não aparece, análise manual"
"Cliente não se recorda ou nega ter contratado","Como investigar suspeita de fraude x esquecimento quando o cliente diz que não contratou.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","não contratei, não reconheço essa cobrança, não lembro de ter contratado, não fiz esse pedido"
"Não recebe o código de acesso","O que fazer quando o código de acesso enviado por WhatsApp não chega ao cliente.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","código de acesso, não recebe o código, código não chega, whatsapp código, código de verificação"
"Atualização de dados cadastrais (e-mail e telefone)","Cenários de troca de e-mail e telefone, com ou sem validação via Open Finance/CAF.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","atualizar email, trocar telefone, mudar número, dados cadastrais, alterar cadastro, número em uso"
"Troca de banco cadastrado","Passo a passo e regras (renda mínima de 3 meses) para trocar a conta bancária cadastrada.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","troca de banco, trocar conta bancária, mudar banco, bancos atendidos, trocar conta"
"Exclusão de cadastro (LGPD)","Quando é possível excluir o cadastro do cliente e os impedimentos por dívida ou produto ativo.","https://app.notion.com/p/36caabaad8a580a78498d9b03e0556d6","excluir cadastro, exclusão de cadastro, lgpd, apagar meus dados, sair da facio, cancelar cadastro"
"Suspeita de fraude — critérios e cenários","Cenários e critérios que levam a marcar um cadastro como suspeita de fraude.","https://app.notion.com/p/36caabaad8a580a49545ce04eac8d288","suspeita de fraude, fraude, não reconheço a contratação, dados não são meus, golpe"
"Validação de documentos via CAF","Como consultar a CAF, motivos de reprovação de documento e reenvio de documentação.","https://app.notion.com/p/36caabaad8a580a49545ce04eac8d288","caf, validação de documento, documento reprovado, documento recusado, reenviar documento, liveness, selfie"
"Cadastro com tarja vermelha ou preta","Bloqueios antigos por tarja vermelha ou preta não podem mais ser revertidos.","https://app.notion.com/p/36caabaad8a580a49545ce04eac8d288","tarja vermelha, tarja preta, bloqueio antigo, não consigo desbloquear, bloqueio histórico"
"Reprovado por renda","Cliente não teve renda identificada na análise de crédito (reason: salary_not_found).","https://app.notion.com/p/36caabaad8a580df8b83cdefd6854113","reprovado por renda, não achou renda, renda não identificada, análise de crédito reprovada"
"Reprovado por modelo","Reprovação pelo modelo de crédito (reason: by model) e prazo de 3 meses para nova análise.","https://app.notion.com/p/36caabaad8a580df8b83cdefd6854113","reprovado por modelo, motivo da reprovação, reprovação de crédito, prazo entre análises"
"Bloqueado por renda","Bloqueio por não identificar renda válida (salary not found/terminated) e casos de exceção de desbloqueio.","https://app.notion.com/p/36caabaad8a580df8b83cdefd6854113","bloqueado por renda, salary not found, salary terminated, desbloqueio por exceção, reconectar conta"
"Bloqueado por atraso","Bloqueio de 3 meses após atraso (reason: over5V) e as únicas exceções para desbloqueio.","https://app.notion.com/p/36caabaad8a580df8b83cdefd6854113","bloqueado por atraso, over5v, prazo de desbloqueio, quanto tempo fico bloqueado, bloqueio por atraso"
"Bloqueado por falta de dados para gerar CCB","Bloqueio por falta de dados mínimos para gerar a CCB (reason: account_change_required).","https://app.notion.com/p/36caabaad8a580df8b83cdefd6854113","account_change_required, dados para ccb, não consigo contratar, bloqueado sem motivo aparente"
"Métodos de pagamento disponíveis","Quais métodos (Pix Copia e Cola, boleto, cartão de débito) estão disponíveis por produto.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","métodos de pagamento, boleto, pix copia e cola, cartão de débito, como pagar"
"Data de vencimento e alteração","Como funciona a data de vencimento e em que condição é possível alterá-la.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","data de vencimento, mudar vencimento, alterar data, trocar data de pagamento"
"Pagamento antecipado","Regras de pagamento antes do vencimento, com ou sem desconto, por produto.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","pagamento antecipado, pagar antes do vencimento, desconto por pagar antes, quitar antes, antecipar pagamento"
"Pagamento parcial","Disponibilidade de pagamento parcial no Crédito Fácil e na Antecipação Salarial.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","pagamento parcial, pagar uma parte, pagar só uma parte da dívida"
"Devolução / desistência (arrependimento em 7 dias)","Como o cliente devolve o valor recebido em até 7 dias corridos, e o que muda após esse prazo.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","devolução, devolver o dinheiro, desistência, arrependimento, estorno, cancelar contratação, devolver pix"
"Aumento de limite e nova contratação","Como funciona o pedido de aumento de limite e nova contratação com pedido em aberto.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","aumento de limite, novo limite, nova contratação, valor máximo, quero mais crédito"
"Pendência no Serasa mesmo já pago (DDA)","O que é o DDA (espelho digital do boleto) e por que pode aparecer pendência no Serasa após o pagamento.","https://app.notion.com/p/089aabaad8a582e39804017ccecc8c7b","dda, pendência no serasa já paguei, boleto pago mas aparece pendente, débito direto autorizado"
"Transferência Automática / Pix Inteligente — como funciona","O que é o Pix Inteligente, como funciona a autorização e a cobrança automática.","https://app.notion.com/p/98faabaad8a583c0961801cd6e93d234","pix inteligente, transferência automática, como funciona pix inteligente, débito automático, autorização de pix"
"Revogação do Pix Inteligente","Como o cliente revoga o consentimento do Pix Inteligente pelos 3 canais disponíveis, com efeito imediato.","https://app.notion.com/p/98faabaad8a583c0961801cd6e93d234","revogar pix inteligente, cancelar débito automático, revogação, parar cobrança automática, cancelar autorização, tirar essa opção"
"Encerramento da Conta Facio (QI SCD)","Como reportar e orientar o encerramento da conta de pagamentos na QI SCD, com ou sem dívida em aberto.","https://app.notion.com/p/36caabaad8a580f5b284d937fc0d6dd2","encerrar conta qi, fechar conta qi tech, cancelar conta de pagamentos, encerramento de conta, conta facio"
"Pix avulso enviado para a conta QI Tech","O que fazer quando o cliente envia um Pix avulso por engano para a conta QI Tech.","https://app.notion.com/p/98faabaad8a583c0961801cd6e93d234","pix avulso, pix errado, enviei pix errado, estorno de pix, pix por engano"
"Encargos de atraso (juros e multa)","Como funcionam multa, mora e juros compostos no atraso, e as diferenças entre produtos.","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","juros de atraso, multa, mora, encargos, quanto eu devo, valor da dívida atualizado"
"Parcelamento da dívida em atraso","Regras de parcelamento após o vencimento, disponível apenas em casos específicos por produto.","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","parcelar dívida, parcelamento em atraso, dividir a dívida, parcelar débito"
"Negociação e quitação à vista","Como negociar a quitação à vista da dívida em atraso (Antecipação usa a árvore de negociação).","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","negociar dívida, quitação à vista, acordo de dívida, desconto na dívida, proposta de pagamento"
"Remoção do CPF do SERASA","Prazo e condições para remover o nome do cliente do SERASA depois do pagamento.","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","remover do serasa, tirar do serasa, negativação, limpar nome, saiu do serasa"
"Documentos da dívida (DED, DDC, termo de quitação)","Como solicitar o descritivo de evolução da dívida, documento descritivo de crédito ou termo de quitação.","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","ded, ddc, termo de quitação, descritivo da dívida, documento de quitação, comprovante de quitação"
"Baixa por falecimento","Procedimento para dar baixa na dívida em caso de falecimento do titular do contrato.","https://app.notion.com/p/c9faabaad8a5836cb57d81a14a40ac9c","falecimento, óbito, morte do titular, atestado de óbito, cliente faleceu"
"Crédito do Trabalhador","Status da proposta, reprovação por modelo, link de oferta e guia do FGTS.","https://app.notion.com/p/3f6aabaad8a582e2a82081420f588e0e","crédito do trabalhador, consignado, fgts, guia fgts, status ct, reprovado modelo ct, link de oferta"
"Crédito Fácil (regras gerais)","Regras e dúvidas específicas do produto Crédito Fácil.","https://app.notion.com/p/dc1aabaad8a5835882668167f339b363","crédito fácil, empréstimo fácil, regras crédito fácil"
"Programa de indicação","Como funciona o programa de indicação: indicar amigos e recompensas.","https://app.notion.com/p/a4baabaad8a5829f8adf81e6d3a1d860","indicação, programa de indicação, indicar amigo, recompensa, indique e ganhe"
"Depósito","Dúvidas sobre prazo e problemas quando o dinheiro não cai na conta do cliente.","https://app.notion.com/p/36caabaad8a580de9481d21a0b10194d","depósito, dinheiro não caiu, valor não caiu, prazo do depósito, depósito não recebido"
